inn,kpp,status,kbk,oktmo,f42,f43,f44,f45,f46
0105057340,010501001,08,81711302062020000130,79701000,0,0,0,0,0
0274136934,027401001,08,80111302062020000130,80701000,0,0,0,0,0
0274136934,027401001,08,81111302062020000130,80701000,0,0,0,0,0
0326476596,032601001,08,82011302062020000130,81701000,0,0,0,0,0
0411007524,041101001,08,91811302062020000130,84701000,0,0,0,0,0
0411171683,041101001,08,91711302062020000130,84701000,0,0,0,0,0
0562043732,057101001,08,59211302992020000130,82701000,0,0,0,0,0
0608014060,060801001,08,90101041110010020244,26701000,0,0,0,0,0
0608014060,060801001,08,90101041110010020247,26701000,0,0,0,0,0
0608014060,060801001,08,90101041110010020853,26701000,0,0,0,0,0
0608014060,060801001,08,90105030410160010247,26701000,0,0,0,0,0
0721021159,072501001,08,90311302062020000130,83701000,0,0,0,0,0
0814158396,081601001,08,60411302062020000130,85701000,0,0,0,0,0
0917016682,091701001,08,00000000000000000130,91701000,0,0,0,0,0
1215033671,121501001,08,00000000000000000130,88701000,0,0,0,0,0
1215055996,121501001,08,00000000000000000130,88701000,0,0,0,0,0
1326233531,132601001,08,80211302992020002130,69701000,0,0,0,0,0
1326233531,132601001,08,80211302992020002130,89701000,0,0,0,0,0
1435030637,143501001,08,07500000000000000135,98701000,0,0,0,0,0
1503014227,151301001,08,00000000000000000130,90701000,0,0,0,0,0
1513034663,151301001,08,18011301081017000130,90701000,0,0,0,0,0
1655228921,165501001,08,72001130000000000130,92701000,0,0,0,0,0
1655248519,165843001,08,18011301081017000130,92701000,0,0,0,0,0
1701038364,170101001,08,00000000000000000130,93701000,0,0,0,0,0
1831082981,183101001,08,00001130000000000130,94701000,0,0,0,0,0
1900010109,190001001,08,00000000000000000130,95701000,0,0,0,0,0
2130082939,213001001,08,41711302061016000130,97701000,0,0,0,0,0
2225156794,222501001,08,00000000000000000120,1701000,0,0,0,0,0
2225156794,222501001,08,00000000000000000130,1701000,0,0,0,0,0
2308053552,231001001,08,80211302062020000130,3701000,0,0,0,0,0
2308103443,230801001,08,90211301994040021130,3701000,0,0,0,0,0
2308103443,230801001,08,90211302064040011130,3701000,0,0,0,0,0
2466073907,246601001,08,00611302062020000130,4701000,0,0,0,0,0
2536014538,254001001,08,07501130000000000130,5701000,0,0,0,0,0
2536014538,254001001,08,07507060000000000130,5701000,0,0,0,0,0
2538008586,253801001,08,00000000000000000130,5701000,0,0,0,0,0
2540113732,770801001,08,0,45378000,0,0,0,0,0
2540183923,254001001,08,18011301081017000130,5701000,0,0,0,0,0
2627025329,262701001,08,17711301991010300130,7712000,0,0,0,0,0
2634044146,263401001,08,00211302062022000130,7701000,0,0,0,0,0
2636804385,263601001,08,18011301081017000130,7701000,0,0,0,0,0
2721001815,272101001,08,00111301992020000130,8701000,0,0,0,0,0
2801128045,280101001,08,00000000000000000130,10701000,0,0,0,0,0
2801128045,280101001,08,00000000000000000130,10707000,0,0,0,0,0
3015064468,301501001,08,00211302992020011130,12701000,0,0,0,0,0
3123107084,312301001,08,80211302062020000130,14701000,0,0,0,0,0
3250524147,325701001,08,00000000000000000130,15701000,0,0,0,0,0
3328102714,332901001,08,00000000000000000130,17701000,0,0,0,0,0
3444049613,344401001,08,81208010000000000130,18701000,0,0,0,0,0
3666088317,366601001,08,00000000000000000130,20701000,0,0,0,0,0
3702679220,370201001,08,18011301081017000130,24701000,0,0,0,0,0
3728013339,370201001,08,00211302062020046130,24701000,0,0,0,0,0
3808273406,380801001,08,81711302062020000130,25701000,0,0,0,0,0
4205119484,420501001,08,85111302062020000130,32701000,0,0,0,0,0
4345217837,434501001,08,83611302062020000130,33701000,0,0,0,0,0
4443025435,440101001,08,05800000000000000130,34701000,0,0,0,0,0
4501182119,450101001,08,99811302064040000130,37701000,0,0,0,0,0
4632258450,463201001,08,80100000000000000130,38701000,0,0,0,0,0
4632258450,463201001,08,81000000000000000130,38701000,0,0,0,0,0
4826143955,482601001,08,00300000042000000130,42701000,0,0,0,0,0
4909056826,490901001,08,60311302992020000130,44701000,0,0,0,0,0
4909109235,490901001,08,00000000000000000130,44701000,0,0,0,0,0
5009061310,775102001,08,00000000000000000130,45931000,0,0,0,0,0
5009061310,775102001,08,00000000000000000130,45944000,0,0,0,0,0
5024080558,502401001,08,00000000000000000130,46744000,0,0,0,0,0
5040102985,773001001,08,18810807141011000110,45318000,0,0,0,0,0
5253004340,526001001,08,48711302062020000130,22701000,0,0,0,0,0
5257133234,525743001,08,18011301081017000130,22701000,0,0,0,0,0
5257133234,526043002,08,18011301081017000130,22701000,0,0,0,0,0
5257133234,526243001,08,18011301081017000130,22701000,0,0,0,0,0
5260292717,526001001,08,00000000000000000130,22701000,0,0,0,0,0
5260292717,526001001,08,48701130000000000130,22701000,0,0,0,0,0
5260292717,526001001,08,48701130000000000131,22701000,0,0,0,0,0
5260417980,526001001,08,14311105032020000120,22701000,0,0,0,0,0
5406299278,540601001,08,32110807550011000110,50701000,0,0,0,0,0
5406628469,540601001,08,00611302062020000130,50701000,0,0,0,0,0
5406718793,540643001,08,18011301081017000130,50701000,0,0,0,0,0
5407972200,540701001,08,00000000000000000130,50701000,0,0,0,0,0
5508001035,550301001,08,00211302062020000130,52701000,0,0,0,0,0
5610090928,561001001,08,81111302062020000130,53701000,0,0,0,0,0
5753050507,575301001,08,00000000000000000130,54701000,0,0,0,0,0
5836012463,583601001,08,80104020089000000135,56701000,0,0,0,0,0
5902293107,590201001,08,00000000000000000135,57701000,0,0,0,0,0
6163030443,616301001,08,80211302062020000130,60701000,0,0,0,0,0
6164229009,616401001,08,20211301991016000130,60701000,0,0,0,0,0
6164259476,616401001,08,83211302062020000130,60701000,0,0,0,0,0
6165034355,616501001,08,00000000000000000130,60701000,0,0,0,0,0
6165177603,616743001,08,18011301081017000130,60701000,0,0,0,0,0
6231039398,623001001,08,50311302062020000130,61701000,0,0,0,0,0
6315800989,631501001,08,71811301992020000130,36701325,0,0,0,0,0
6315800989,631501001,08,71811309112020000130,36701325,0,0,0,0,0
6450930656,645001001,08,00211302992020900130,63701000,0,0,0,0,0
6500021634,650001001,08,00000000000000000130,64701000,0,0,0,0,0
6658001558,665801001,08,00211301992020000130,65701000,0,0,0,0,0
6730011743,673001001,08,00000000000000000135,66701000,0,0,0,0,0
6732041528,673201001,08,18011301081017000130,66701000,0,0,0,0,0
6829060933,682901001,08,00000000000000000130,68701000,0,0,0,0,0
6829060933,682901001,08,00000000000000000130,68701000,0,0,0,0,0
6950145090,695001001,08,00100000000000000130,28701000,0,0,0,0,0
7017069388,701701001,08,80411302062020000130,69701000,0,0,0,0,0
7017297271,701701001,08,80400000000000000130,69701000,0,0,0,0,0
7107041813,710701001,08,00000000000008210130,70701000,0,0,0,0,0
7202076936,720301001,08,03211302062020000130,71701000,0,0,0,0,0
7203234409,720301001,08,03750300000000000130,71701000,0,0,0,0,0
7325056619,732501001,08,20311302992020900130,73701000,0,0,0,0,0
7453042379,745301001,08,00111302992020000130,75701000,0,0,0,0,0
7453042379,745301001,08,00111302992020000130,75701390,0,0,0,0,0
7453148664,745301001,08,03011302992020000130,75701390,0,0,0,0,0
7453323933,745301001,08,03011302992020000130,75701000,0,0,0,0,0
7536098181,753601001,08,00000000000000000130,76701000,0,0,0,0,0
7536098181,753601001,08,00111301992020000130,76701000,0,0,0,0,0
7604284446,760401001,08,92011302062020000130,78701000,0,0,0,0,0
7703363868,,08,79710212000061000160,45382000,0,0,0,0,0
7703590123,770301001,08,17711601191010020140,45380000,0,0,0,0,0
7703590123,770301001,08,17711601201010004140,45380000,0,0,0,0,0
7704060792,770401001,08,00000000000000000130,45374000,0,0,0,0,0
7704091053,770401001,08,00000000000000000130,45383000,0,0,0,0,0
7705846236,770501001,08,09611301110016000130,45381000,0,0,0,0,0
7709083955,770401001,08,78810807142011000110,45374000,0,0,0,0,0
7709133821,770901001,08,08911301090016000130,45381000,0,0,0,0,0
7710019739,771001001,08,00000000000000000130,45382000,0,0,0,0,0
7710023340,771001001,08,30311105021016000120,45382000,0,0,0,0,0
7710023340,771001001,08,30311402018016000410,45382000,0,0,0,0,0
7710023340,771001001,08,30311705010016000180,45382000,0,0,0,0,0
7710023340,771001001,08,30321801010016000150,45382000,0,0,0,0,0
7710537160,770901001,08,06011302061016000130,45381000,0,0,0,0,0
7714887870,771401001,08,78011602010020001140,45334000,0,0,0,0,0
7717149663,770302001,08,00000000000000000130,45380000,0,0,0,0,0
7722765428,772201001,08,02005030000131131022,45388000,0,0,0,0,0
7723002556,770343002,08,18011301081017000130,45380000,0,0,0,0,0
7723002556,772243001,08,,,0,0,0,0,0
7726050389,772601001,08,05400000000131131022,45915000,0,0,0,0,0
7726639745,772601001,08,32110807020011000110,45914000,0,0,0,0,0
7726639745,772601001,08,32110807550011000110,45914000,0,0,0,0,0
7726639745,772601001,08,32111301031018010130,45914000,0,0,0,0,0
7729148110,772901001,08,18810807200010039110,45321000,0,0,0,0,0
7729148110,772901001,08,18810807200010043110,45321000,0,0,0,0,0
7729401652,770201001,08,14811705020029007180,45379000,0,0,0,0,0
7731027963,773101001,08,00000000000000000130,45320000,0,0,0,0,0
7731027963,773101001,08,00000000000000000130,45320000,0,0,0,0,0
7901533590,790101001,08,00111301992020000130,99701000,0,0,0,0,0
8601012220,860101001,08,00000000000000000130,71871000,0,0,0,0,0
8901020511,890101001,08,80311302062020000130,71951000,0,0,0,0,0
9102012065,910201001,08,32110807550011000110,35701000,0,0,0,0,0
9102029380,910201001,08,00000000000000000130,35701000,0,0,0,0,0
9102029380,910201001,08,80201130000000000130,35701000,0,0,0,0,0
